Chapter,Verse Number,Translation
2,1,Translation of verse 1
2,2,Translation of verse 2
2,3,Translation of verse 3
2,4,Translation of verse 4
2,5,Translation of verse 5
2,6,Translation of verse 6
2,7,Translation of verse 7
2,8,Translation of verse 8
2,9,Translation of verse 9
2,10,Translation of verse 10
2,11,Translation of verse 11
2,12,Translation of verse 12
2,13,Translation of verse 13
2,14,Translation of verse 14
2,15,Translation of verse 15
2,16,Translation of verse 16
2,17,Translation of verse 17
2,18,Translation of verse 18
2,19,Translation of verse 19
2,20,Translation of verse 20
2,21,Translation of verse 21
2,22,Translation of verse 22
2,23,Translation of verse 23
2,24,Translation of verse 24
2,25,Translation of verse 25
2,26,Translation of verse 26
2,27,Translation of verse 27
2,28,Translation of verse 28
2,29,Translation of verse 29
2,30,Translation of verse 30
2,31,Translation of verse 31
2,32,Translation of verse 32
2,33,Translation of verse 33
2,34,Translation of verse 34
2,35,Translation of verse 35
2,36,Translation of verse 36
2,37,Translation of verse 37
2,38,Translation of verse 38
2,39,Translation of verse 39
2,40,Translation of verse 40
2,41,Translation of verse 41
2,42,Translation of verse 42
2,43,Translation of verse 43
2,44,Translation of verse 44
2,45,Translation of verse 45
2,46,Translation of verse 46
2,47,Translation of verse 47
2,48,Translation of verse 48
2,49,Translation of verse 49
2,50,Translation of verse 50
2,51,Translation of verse 51
2,52,Translation of verse 52
2,53,Translation of verse 53
2,54,Translation of verse 54
2,55,Translation of verse 55
2,56,Translation of verse 56
2,57,Translation of verse 57
2,58,Translation of verse 58
2,59,Translation of verse 59
2,60,Translation of verse 60
2,61,Translation of verse 61
2,62,Translation of verse 62
2,63,Translation of verse 63
2,64,Translation of verse 64
2,65,Translation of verse 65
2,66,Translation of verse 66
2,67,Translation of verse 67
2,68,Translation of verse 68
2,69,Translation of verse 69
2,70,Translation of verse 70
2,71,Translation of verse 71
2,72,Translation of verse 72
