Word,POS,Lemma
Dhritirashtra,NNP,Dhritirashtra
Ranged,NNP,Ranged
thus,RB,thus
battle,NN,battle
sacred,VBD,sacred
plain,JJ,plain
Kurukshetra,NNP,Kurukshetra
say,VBP,say
Sanjaya,NNP,Sanjaya
say,VBP,say
wrought,JJ,wrought
people,NNS,people
Pandavas,NNP,Pandavas
Sanjaya,NNP,Sanjaya
beheld,VBD,behold
host,NN,host
Pandavas,NNP,Pandavas
Raja,NNP,Raja
Duryodhana,NNP,Duryodhana
Drona,NNP,Drona
drew,VBD,draw
spake,JJ,spake
words,NNS,word
Ah,NNP,Ah
Guru,NNP,Guru
see,VBP,see
line,NN,line
vast,JJ,vast
Pandu,NNP,Pandu
Embattled,NNP,Embattled
son,NN,son
Drupada,NNP,Drupada
Thy,NNP,Thy
scholar,JJ,scholar
war,NN,war
Therein,NNP,Therein
stand,NN,stand
ranked,VBD,rank
Chiefs,NNP,Chiefs
like,IN,like
Arjuna,NNP,Arjuna
like,IN,like
Bhima,NNP,Bhima
chiefs,VBP,chiefs
Benders,NNP,Benders
bows,VBZ,bow
Virata,NNP,Virata
Yuyudhan,NNP,Yuyudhan
Drupada,NNP,Drupada
eminent,NN,eminent
upon,IN,upon
car,NN,car
Dhrishtaket,NNP,Dhrishtaket
Chekitan,NNP,Chekitan
Kasi,NNP,Kasi
stout,NN,stout
lord,NN,lord
Purujit,NNP,Purujit
Kuntibhoj,NNP,Kuntibhoj
Saivya,NNP,Saivya
Yudhamanyu,NNP,Yudhamanyu
Uttamauj,NNP,Uttamauj
Subhadra,NNP,Subhadra
child,NN,child
Drupadi,NNP,Drupadi
famed,VBD,famed
mounted,JJ,mounted
shining,VBG,shin
chariots,NNS,chariot
side,RB,side
thou,VBP,thou
best,JJS,best
Brahmans,NNPS,Brahmans
see,VBP,see
Excellent,JJ,Excellent
chiefs,NNS,chief
commanders,NNS,commander
line,NN,line
Whose,NNP,Whose
names,NNS,name
joy,VBP,joy
count,NN,count
thyself,PRP,thyself
first,RB,first
Bhishma,NNP,Bhishma
Karna,NNP,Karna
Kripa,NNP,Kripa
fierce,NN,fierce
fight,NN,fight
Vikarna,NNP,Vikarna
Aswatthaman,NNP,Aswatthaman
next,JJ,next
Strong,NNP,Strong
Saumadatti,NNP,Saumadatti
full,JJ,full
many,JJ,many
Valiant,NNP,Valiant
tried,VBD,try
ready,JJ,ready
day,NN,day
die,VB,die
king,VBG,king
weapon,NN,weapon
grasped,VBD,grasp
skilful,JJ,skilful
field,NN,field
battle,NN,battle
shows,VBZ,show
Bhishma,NNP,Bhishma
holds,VBZ,hold
command,VB,command
Bhima,NNP,Bhima
fronting,VBG,front
something,NN,something
strong,JJ,strong
care,NN,care
captains,NNS,captain
nigh,JJ,nigh
Bhishma,NNP,Bhishma
ranks,NNS,rank
Prepare,NNP,Prepare
help,NN,help
may,MD,may
blow,VB,blow
shell,NN,shell
signal,JJ,signal
